brain_volume,gray_matter_volume,white_matter_volume,csf_volume,mean_intensity,std_intensity,max_intensity,contrast,homogeneity,energy,area,entropy,skewness,kurtosis,total_neurons,neuron_density,occipital_lobe,hippocampus,temporal_lobe,thalamus,insular_lobe,frontal_lobe,lbp_4,lbp_9,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,name,label
9754,3842,4083,8459,75.1258544921875,83.04873751734533,253,248.05819389763772,0.4564055857174005,0.3784970971782361,6849,5.52241384703766,0.5401841599500139,-1.2623705984985376,6366,0.3885498046875,54.9528,102.3324,21.19857142857143,105.7164,155.1084,59.62714285714286,0.1867065429573543,0.0430297851536236,9191.84189531898,347154.0,812837.0,82683003.0,0.59893798828125,631.0490684522439,201619310.0,3_processed_1983.png,label_3
9625,3223,4872,8289,81.11846923828125,87.53287295833698,252,228.3297244094488,0.4711583284658902,0.3863641918293118,7233,5.416393782934566,0.4205668688216948,-1.4803629039646105,6947,0.42401123046875,63.3644,102.1024,29.005714285714287,105.776,169.9524,75.20571428571428,0.1851806640511974,0.0433959960911013,8980.76554704848,351692.0,811849.0,78763011.0,0.58807373046875,618.8225963941123,226195955.0,3_processed_1984.png,label_3
8922,2802,4376,9206,75.01080322265625,89.73425089768837,253,222.8264025590552,0.5198540344654731,0.4349101565105963,6228,5.082643552457024,0.6421656179193225,-1.2626792307291934,6073,0.37066650390625,53.542,111.2648,16.222857142857144,100.45,160.3808,51.56785714285714,0.1639404296774938,0.0423583984349146,8178.073345921409,469514.0,665958.0,65327006.0,0.5364990234375,510.7664365371511,214994525.0,3_processed_1985.png,label_3
9513,3443,4099,8842,72.76861572265625,83.10012617676065,252,227.80056594488187,0.4735508375130265,0.3936535952661357,6459,5.400752061495392,0.5839099021781128,-1.2761157569691723,6126,0.3739013671875,53.802,97.9592,21.969285714285714,102.0096,147.884,64.23214285714286,0.1744995117080993,0.0487060546845272,8911.681844038525,358020.0,810078.0,77611606.0,0.58349609375,628.5401659538674,195566473.0,3_processed_1986.png,label_3
8973,2680,4421,9283,76.046875,91.67486372855124,253,212.0526574803149,0.5198768210227626,0.4320006399018068,6089,5.108785068076613,0.6672116562280368,-1.2265268508018816,6037,0.36846923828125,52.582,113.4088,16.630714285714287,101.006,162.6372,57.93857142857143,0.1663208007710986,0.0455322265597209,8177.291621153701,452290.0,670153.0,65230119.0,0.53814697265625,511.721072508078,223057601.0,3_processed_1987.png,label_3
9359,2874,4226,9284,75.1483154296875,90.25491906064008,254,264.1310285433071,0.494587926705376,0.4029775117964818,6009,5.275594815406809,0.7002283207705832,-1.1406040272654254,5961,0.36383056640625,54.5348,113.5908,19.654285714285717,108.3252,141.4948,61.01642857142857,0.1778564453016445,0.0483398437470495,8606.015635938787,370050.0,826565.0,72140829.0,0.56793212890625,624.4749330128724,218283334.0,3_processed_1988.png,label_3
8957,2820,4246,9318,73.25335693359375,88.85293852639832,253,231.3158218503937,0.5185630285706668,0.4318756452780335,6085,5.120283896414926,0.6821971495241945,-1.186591577220615,5956,0.363525390625,51.5,107.3744,13.400714285714283,98.4692,161.154,47.58357142857143,0.1636962890525087,0.0430908203098699,8155.358269177064,440784.0,669078.0,64862034.0,0.537353515625,543.3717959614281,208268949.0,3_processed_1989.png,label_3
9558,3001,4626,8757,78.09979248046875,88.66293245081198,254,281.90046751968504,0.4675017472039035,0.3913753357791476,6401,5.430344004872677,0.5664437939485399,-1.3186516883197092,6292,0.384033203125,57.59,96.966,22.69142857142857,115.608,165.8092,60.92928571428571,0.1818237304576523,0.0469360351533852,8984.11611361117,360324.0,787633.0,78931919.0,0.58648681640625,613.1271253427722,223611633.0,3_processed_199.png,label_3
8791,2662,4171,9551,68.59661865234375,84.38029029012282,254,270.66560039370086,0.5114679721955635,0.4412800552359527,5883,5.093870223805324,0.7092060534692274,-1.1446612956236233,5684,0.346923828125,43.7552,100.7388,13.541428571428572,94.0012,150.0704,48.52285714285714,0.1713867187395393,0.0355224609353318,8198.695318077189,429594.0,627167.0,65852373.0,0.53582763671875,546.2851257455327,190943440.0,3_processed_1990.png,label_3
9695,3083,4790,8511,81.2098388671875,90.23499680994313,253,242.16978346456688,0.4687609628844492,0.3820336095178184,6799,5.45856301341982,0.5065682366877151,-1.3838118783160225,6677,0.40753173828125,64.3576,101.6712,27.950714285714287,128.2332,154.2308,69.06428571428572,0.1770629882704429,0.0509033203093931,8982.543104869006,348518.0,834051.0,78749319.0,0.58953857421875,632.7873768114321,232626588.0,3_processed_1991.png,label_3
9609,3610,3879,8895,70.68048095703125,80.83861913476959,253,300.90157480314963,0.4588672593599198,0.3874134245304982,6195,5.476863992789132,0.6374174150185201,-1.1432145920453836,5825,0.35552978515625,51.0332,95.8528,24.65,91.3692,150.5152,62.20785714285714,0.1784057617078609,0.0460205078096911,9132.636152838004,355782.0,780026.0,81808124.0,0.593017578125,623.3412886022234,186106045.0,3_processed_1992.png,label_3
9294,3263,3301,9820,63.01953125,78.46740658307769,254,300.17384350393706,0.4832577169653421,0.4074202226267487,5195,5.2921160042828586,0.862244648148562,-0.7941953945094165,4939,0.30145263671875,47.9044,87.5788,14.310714285714283,91.4292,130.7536,48.385714285714286,0.1721801757707409,0.0494995117157287,8663.108754504752,369932.0,751789.0,73346407.0,0.56805419921875,607.9965702992881,163188613.0,3_processed_1993.png,label_3
9647,2990,4530,8864,75.9981689453125,85.72343578588239,254,268.769562007874,0.4714678636747189,0.3871819971019524,6749,5.4306336675129785,0.5234169534139912,-1.3823171949194926,6512,0.3974609375,56.734,105.5168,24.995,107.3752,141.4496,67.03642857142857,0.1658935546773746,0.0502929687469303,8881.602360603263,358896.0,781837.0,76846039.0,0.58441162109375,592.784445216028,209278802.0,3_processed_1994.png,label_3
8847,2538,4579,9267,76.1649169921875,92.1976492010832,254,266.66117125984255,0.5184166279060656,0.4389644233388016,6053,5.067800273413938,0.6558746961621752,-1.2610441250995212,6031,0.36810302734375,53.1392,111.8224,12.548571428571428,100.1556,173.028,46.73142857142857,0.1574096679591424,0.0444335937472879,8168.805470519279,466078.0,673275.0,65218811.0,0.53570556640625,532.476256096845,225756552.0,3_processed_1995.png,label_3
9059,2394,5029,8961,80.69561767578125,93.70247136535366,254,229.85703740157484,0.5088943400678376,0.4242486691518187,6505,5.103792192231363,0.5345986101364621,-1.4450257410911032,6488,0.39599609375,57.6548,114.394,18.09,109.2384,178.2096,52.92071428571428,0.1590576171777918,0.0469970703096315,8328.818257126524,418664.0,760531.0,67719197.0,0.54742431640625,561.1485317471114,241148211.0,3_processed_1996.png,label_3
9608,2863,3551,9970,65.89837646484375,82.4042886291333,251,324.1918061023622,0.4782222557781548,0.38674702257893,5199,5.386610485700331,0.8749782959431309,-0.8010193325480235,5066,0.3092041015625,48.186,99.5788,20.34642857142857,89.6892,122.0752,58.112857142857145,0.1597900390527472,0.0560302734340801,8951.001157948298,353556.0,899236.0,78187836.0,0.5870361328125,649.9851619529394,178730000.0,3_processed_1997.png,label_3
9582,3408,4166,8810,74.26519775390625,84.37431883252216,254,291.68257874015745,0.4618053337964607,0.3881414057949277,6431,5.45700248701942,0.5938142011501479,-1.242791448422156,6140,0.374755859375,54.2712,93.6736,26.295714285714286,100.5616,159.1748,64.78714285714285,0.1688232421771958,0.0443115234347954,9126.047544999796,355368.0,809658.0,81595570.0,0.59326171875,641.5459066624977,203862294.0,3_processed_1998.png,label_3
9699,3434,4617,8333,79.6885986328125,86.49809526945204,254,224.4281496062992,0.464735699397356,0.3806362156756409,7170,5.4624785236978886,0.4516572027068633,-1.425290152420282,6832,0.4169921875,60.6196,102.13,29.560714285714287,105.0988,168.8776,69.22357142857143,0.1842651367075033,0.0453491210909821,9116.247133482822,348088.0,847854.0,81193108.0,0.595947265625,648.2582532483979,220329537.0,3_processed_1999.png,label_3
9104,3015,3738,9631,67.73150634765625,84.38323596103854,249,240.31286909448815,0.50178926182576,0.4219842888693996,5458,5.209390300109034,0.8042250720613935,-0.9608371208100052,5290,0.3228759765625,49.0796,99.8112,12.859285714285717,98.5184,133.7128,52.07928571428572,0.1708374023333229,0.0477905273408331,8462.65498224468,402606.0,691268.0,70035064.0,0.5537109375,554.7604865618842,187525761.0,3_processed_2.png,label_3
8893,2990,4215,9179,72.1956787109375,87.31988320428994,254,255.1711368110236,0.5067793255936873,0.4354610404964297,5938,5.155669896358196,0.6954825733433869,-1.137153700858779,5786,0.3531494140625,46.2152,105.8584,14.612142857142857,97.9128,158.6584,52.53857142857143,0.1817016601451598,0.0398559570288173,8311.341041550042,433312.0,621457.0,67698055.0,0.54205322265625,537.333417432967,205810085.0,3_processed_20.png,label_3
8943,2755,4357,9272,73.20013427734375,88.4065968394218,251,214.5234990157481,0.5139783383435421,0.4321174344430977,6075,5.107243673363222,0.6570009911924798,-1.2474843029260738,5930,0.3619384765625,50.3488,106.234,13.914285714285716,94.848,163.9956,51.05285714285714,0.1574707031153887,0.0441894531223028,8226.418060177635,458294.0,692209.0,66079527.0,0.54010009765625,555.5727005223802,209036955.0,3_processed_200.png,label_3
9058,2444,4096,9844,70.28472900390625,88.19918777859857,253,251.36232775590557,0.5131449232548543,0.4240727086557139,5444,5.1314514471415,0.7867654676272339,-1.0534377735436329,5422,0.3309326171875,52.0156,106.2232,15.184285714285714,99.9948,138.0884,48.67642857142857,0.1619262695213668,0.0494995117157287,8271.953152278511,410320.0,738637.0,66675697.0,0.54595947265625,567.4467112345889,201425697.0,3_processed_2000.png,label_3
9135,3375,3896,9113,70.944091796875,84.24541582284135,253,202.59178149606305,0.5064596997662765,0.4210366203595693,6266,5.210113523071592,0.6661374799873683,-1.1652167173632202,5862,0.3577880859375,49.4816,101.8904,15.717857142857143,96.3696,155.0776,48.10714285714285,0.1712036132708005,0.0416870117162056,8366.822235556087,399198.0,673467.0,68264783.0,0.55072021484375,537.4268999743182,191525296.0,3_processed_2001.png,label_3
9597,3529,4359,8496,77.44012451171875,86.32128764713092,251,248.4691190944882,0.4634709330247978,0.3882115715277058,6736,5.445987707893666,0.5361581087654836,-1.3160258937657816,6434,0.3927001953125,55.9084,100.8188,28.214285714285715,114.644,155.4528,64.54357142857143,0.1716308593645245,0.0492553710907436,9010.216816744203,352968.0,777512.0,79375826.0,0.589111328125,614.9592272443438,215554076.0,3_processed_2002.png,label_3
8969,2480,3796,10108,66.3475341796875,85.61528341466631,253,305.4912647637796,0.5179985118766837,0.4299589642232678,5099,5.107298841707572,0.8814562558822985,-0.8490238659175602,5058,0.3087158203125,48.3608,96.3088,14.999285714285714,98.7028,129.438,49.99857142857143,0.1654052734274044,0.0507202148406542,8182.780639210363,441066.0,695508.0,65300072.0,0.5389404296875,554.9783226929428,186977933.0,3_processed_2003.png,label_3
9680,3479,3983,8922,71.716552734375,82.56174287261162,253,315.2918307086614,0.4635160907511962,0.384718878342574,6038,5.510075008892063,0.6581850210626309,-1.1246543507526745,5762,0.3516845703125,58.1264,93.3908,22.587142857142855,94.3736,147.3688,64.76857142857143,0.1843261718637496,0.0471801757783703,9028.35838545025,358710.0,734000.0,79686160.0,0.5897216796875,590.4216999069663,191467064.0,3_processed_2004.png,label_3
9627,3593,4090,8701,72.557861328125,81.93836152600751,250,272.4651820866142,0.4571989158264111,0.3853693351008109,6336,5.458152540112165,0.5815797202815159,-1.25560315063246,5998,0.3660888671875,55.144,92.3516,22.955,99.8284,157.5568,58.97857142857143,0.180419921863988,0.0491333007782511,9168.89456401893,351316.0,833964.0,82372574.0,0.5963134765625,648.2032763264677,193123266.0,3_processed_2005.png,label_3
8838,2716,4615,9053,75.8790283203125,89.04461382697384,253,202.32308070866145,0.5147417280561437,0.44115294191754,6659,5.045559302477267,0.5592948790475075,-1.379072706040016,6475,0.39520263671875,51.2724,106.8028,13.423571428571428,100.3236,173.744,52.91428571428571,0.1561279296779707,0.0397949218725711,8215.978103538433,466724.0,649348.0,66118912.0,0.5360107421875,502.0823940351425,219178650.0,3_processed_2006.png,label_3
8935,3768,2637,9979,54.0810546875,67.00335974596355,244,166.3562992125984,0.5223878194737924,0.4326374766233106,5532,4.97731459201525,0.7808182732527698,-1.0121385235957276,4608,0.28125,42.7372,77.2908,13.851428571428572,80.4348,101.696,37.309285714285714,0.1654663085836507,0.0460815429659374,8166.651699659559,415742.0,718913.0,65054321.0,0.53778076171875,537.6674209683015,117583958.0,3_processed_2007.png,label_3
